id	text_id	id_in_text	offset_start	offset_end	y_value	y_predict	X_text
0	00139dc02f4541f4b65c8eafdaffe4b1	1	4	12	O	O	standard
1	00139dc02f4541f4b65c8eafdaffe4b1	3	16	21	O	O	proof
2	00139dc02f4541f4b65c8eafdaffe4b1	5	29	39	O	O	reasonable
3	00139dc02f4541f4b65c8eafdaffe4b1	6	40	45	O	O	doubt
4	00139dc02f4541f4b65c8eafdaffe4b1	11	66	73	O	O	applied
5	007e4ebbaf6a427a8849ca6ec96cf9de	1	8	12	B-ORG	B-ORG	HPCL
6	007e4ebbaf6a427a8849ca6ec96cf9de	2	13	18	O	O	shall
7	007e4ebbaf6a427a8849ca6ec96cf9de	5	25	32	O	O	liberty
8	007e4ebbaf6a427a8849ca6ec96cf9de	9	45	56	O	O	appropriate
9	007e4ebbaf6a427a8849ca6ec96cf9de	10	57	63	O	O	action
10	007e4ebbaf6a427a8849ca6ec96cf9de	12	67	73	O	O	deemed
11	007e4ebbaf6a427a8849ca6ec96cf9de	13	74	77	O	O	fit
12	007e4ebbaf6a427a8849ca6ec96cf9de	17	89	100	O	O	eventuality
13	009a49ab1cdf44be9fbfdb26377c9a68	0	0	4	B-COURT	B-COURT	High
14	009a49ab1cdf44be9fbfdb26377c9a68	1	5	10	I-COURT	I-COURT	Court
15	009a49ab1cdf44be9fbfdb26377c9a68	3	14	24	I-COURT	I-COURT	Judicature
16	009a49ab1cdf44be9fbfdb26377c9a68	5	28	37	I-COURT	I-COURT	Allahabad
17	009a49ab1cdf44be9fbfdb26377c9a68	7	43	46	O	I-COURT	Afr
18	009a49ab1cdf44be9fbfdb26377c9a68	9	49	57	O	I-COURT	Reserved
19	009a49ab1cdf44be9fbfdb26377c9a68	11	60	65	O	I-COURT	Court
20	009a49ab1cdf44be9fbfdb26377c9a68	15	72	74	O	O	39
21	009a49ab1cdf44be9fbfdb26377c9a68	17	77	81	O	O	Case
22	009a49ab1cdf44be9fbfdb26377c9a68	20	85	89	O	O	Writ
23	009a49ab1cdf44be9fbfdb26377c9a68	22	92	93	O	O	C
24	009a49ab1cdf44be9fbfdb26377c9a68	26	100	105	O	O	12759
25	009a49ab1cdf44be9fbfdb26377c9a68	28	109	113	O	O	2019
26	009a49ab1cdf44be9fbfdb26377c9a68	30	116	126	O	O	Petitioner
27	009a49ab1cdf44be9fbfdb26377c9a68	33	130	143	B-PETITIONER	B-PETITIONER	Yantraleshwar
28	009a49ab1cdf44be9fbfdb26377c9a68	34	144	149	I-PETITIONER	I-PETITIONER	Gupta
29	009a49ab1cdf44be9fbfdb26377c9a68	35	150	155	I-PETITIONER	I-PETITIONER	Alias
30	009a49ab1cdf44be9fbfdb26377c9a68	36	156	162	I-PETITIONER	I-PETITIONER	Dhreej
31	009a49ab1cdf44be9fbfdb26377c9a68	37	163	168	I-PETITIONER	I-PETITIONER	Kumar
32	009a49ab1cdf44be9fbfdb26377c9a68	41	183	193	O	O	Respondent
33	009a49ab1cdf44be9fbfdb26377c9a68	44	197	202	B-RESPONDENT	O	State
